title,recruiter,experinece,salary,location,description,skills,time_since_posted
Data Science,HyreFox Consultants,5 - 8 yrs,None,Chennai,,"data science  ,  data cleaning  ,  dashboards",Posted few days ago
Data Science,tcg digital solutions pvt ltd,3 - 5 yrs,None,Kolkata,,"                data analytics  ,  functional analysis  ,  predictive analytics  ,  data science  ,  solution design",Posted few days ago
Data Science,innefu labs pvt. ltd.,4 - 6 yrs,None,"Delhi,  Delhi/NCR",,"                procedures  ,  data collection  ,   Commercial activities",Posted few days ago
Data Science,bprise pvt ltd,3 - 6 yrs,None,Mumbai,,"                hive  ,  algorithms  ,  authoring  ,  data mining  ,  sql  ,  pig  ,  d3.js  ,  security  ,  java  ,  big data  ,  mongodb  ,  hbase  ,  python  ,  machine learning  ,  nosql  ,  cassandra",Posted few days ago
Data Science Internship in Mumbai,Maxgen Technologies     ,0 - 1 yrs,None,"Mumbai,  Kalyan,  Nasik,  Navi Mumbai,  Thane",,data science,Posted a month ago
Data Science Internship in Ahmedabad,Maxgen Technologies     ,0 - 1 yrs,None,"Ahmedabad,  Mehsana,  Rajkot,  Surat,  Surendranagar",,"                student project  ,  data science",Posted a month ago
Data Science Internship in Pune,Maxgen Technologies     ,0 - 1 yrs,None,"Pune,  Amravati,  Aurangabad,  Sangli,  Satara",,data science,Posted a month ago
Data Science Internship in Pune,Maxgen Technologies     ,0 - 1 yrs,None,"Pune,  Amravati,  Aurangabad,  Sangli,  Satara",,                .,Posted 4 days ago
Data Science Internship in Pune,Maxgen Technologies     ,0 - 1 yrs,None,"Pune,  Amravati,  Aurangabad,  Sangli,  Satara",,                .,Posted few days ago
Data Science Internship in Ahmedabad,Maxgen Technologies     ,0 - 1 yrs,None,"Ahmedabad,  Mehsana,  Rajkot,  Surat,  Surendranagar",,                .,Posted few days ago
Data Science Internship in Ahmedabad,Maxgen Technologies     ,0 - 1 yrs,None,"Ahmedabad,  Bhavnagar,  Gandhinagar,  Jamnagar,  Mehsana",,                software development,Posted 4 days ago
Data Science Internship in Ahmedabad,Maxgen Technologies     ,0 - 1 yrs,None,"Ahmedabad,  Bhavnagar,  Gandhinagar,  Jamnagar,  Mehsana",,                .,Posted few days ago
Data Science Internship in Ahmedabad,Maxgen Technologies     ,0 - 1 yrs,None,"Ahmedabad,  Mehsana,  Rajkot,  Surat,  Surendranagar",,                college project,Posted a month ago
Data Science Internship in Pune,Maxgen Technologies     ,0 - 1 yrs,None,"Pune,  Jalgaon,  Kolhapur,  Nagpur,  Solapur",,                .,Posted few days ago
Data Science Internship in Mumbai,Maxgen Technologies     ,0 - 1 yrs,None,"Mumbai,  Kalyan,  Nasik,  Navi Mumbai,  Thane",,                .,Posted a month ago
Data Science Internship in Mumbai,Maxgen Technologies     ,0 - 1 yrs,None,"Mumbai,  Kalyan,  Nasik,  Navi Mumbai,  Thane",,                interns,Posted a month ago
Data Science Internship in Pune,Maxgen Technologies     ,0 - 1 yrs,None,"Pune,  Jalgaon,  Kolhapur,  Nagpur,  Solapur",,                .,Posted a month ago
Data Science Classroom Trainer,NARESH I TECHNOLOGIES     ,5 - 10 yrs,None,Hyderabad/Secunderabad,,"                ML  ,  DL  ,  R Programming  ,  Python  ,  Machine learning  ,  Deep Learning",Posted few days ago
